id,type,domain,enabled,date_added,date_modified,comment
1,0,fonts.gstatic.com,1,1626146165,1626146165,"Added from Query Log"
2,0,edge-mqtt.facebook.com,1,1626146195,1626146195,"Added from Query Log"
4,0,gstaticadssl.l.google.com,1,1626147650,1626147650,"Added from Query Log"
5,0,debain.pool.ntp.org,1,1626593407,1626593407,""
6,2,(\.|^)click\.service\.ccpgames\.com$,1,1628038771,1628038771,
7,1,googleadservices.com,1,1630201455,1630201455,
8,3,(\.|^)googleadservices\.com$,1,1631069497,1631069497,
9,3,"^ad([sxv]?[0-9]*|system)[_.-]([^.[:space:]]+\.){1,}|[_.-]ad([sxv]?[0-9]*|system)[_.-]",1,1631378166,1631378166,
10,3,^(.+[_.-])?adse?rv(er?|ice)?s?[0-9]*[_.-],1,1631378177,1631378177,
11,3,^(.+[_.-])?telemetry[_.-],1,1631378177,1631378177,
12,3,^adim(age|g)s?[0-9]*[_.-],1,1631378177,1631378177,
13,3,^adtrack(er|ing)?[0-9]*[_.-],1,1631378177,1631378177,
14,3,^advert(s|is(ing|ements?))?[0-9]*[_.-],1,1631378177,1631378177,
15,3,^aff(iliat(es?|ion))?[_.-],1,1631378177,1631378177,
16,3,^analytics?[_.-],1,1631378177,1631378177,
17,3,^banners?[_.-],1,1631378177,1631378177,
18,3,^beacons?[0-9]*[_.-],1,1631378177,1631378177,
19,3,^count(ers?)?[0-9]*[_.-],1,1631378177,1631378177,
20,3,^mads\.,1,1631378177,1631378177,
21,3,^pixels?[-.],1,1631378177,1631378177,
22,3,^stat(s|istics)?[0-9]*[_.-],1,1631378177,1631378177,
23,3,^adclick(er|ing)?[0-9]*[_.-],1,1631378778,1631378778,
24,3,(\.|^)https://adclick\.g\.doubleclick\.net/$,1,1631378883,1631378914,
26,3,(\.|^)https://adclick\.net$,1,1631378945,1631378945,
27,3,adclick(er|ing)?[0-9]*[_.-],1,1631379195,1631379195,
